Bin_Index,Time_Start_s,Time_End_s,N_Samples,DEEP REST_Count,DEEP REST_Percent,SOFT BURST_Count,SOFT BURST_Percent,INTENSE BURST_Count,INTENSE BURST_Percent,BASELINE_Count,BASELINE_Percent,SOCIAL PLAY_Count,SOCIAL PLAY_Percent,SOFT BURST (1)_Count,SOFT BURST (1)_Percent,BASELINE (1)_Count,BASELINE (1)_Percent,SCAN BURST_Count,SCAN BURST_Percent
0,180.21333333333334,240.21333333333334,11250,2170,19.288888888888888,494,4.391111111111111,230,2.0444444444444447,1511,13.431111111111111,730,6.488888888888889,1672,14.862222222222222,2264,20.124444444444446,2179,19.36888888888889
1,240.21333333333334,300.21333333333337,11250,1461,12.986666666666666,1087,9.662222222222223,1944,17.28,1283,11.404444444444445,1176,10.453333333333333,1460,12.977777777777778,1389,12.346666666666668,1450,12.88888888888889
2,300.21333333333337,360.21333333333337,11250,1994,17.724444444444444,931,8.275555555555556,522,4.64,1300,11.555555555555555,1075,9.555555555555555,1505,13.377777777777776,2001,17.78666666666667,1922,17.084444444444443
3,360.21333333333337,420.21333333333337,11250,1762,15.662222222222223,1077,9.573333333333334,386,3.431111111111111,1586,14.097777777777779,1200,10.666666666666668,1840,16.355555555555558,1662,14.773333333333333,1737,15.440000000000001
4,420.21333333333337,480.21333333333337,11251,1831,16.274108968091724,835,7.4215625277753094,1175,10.443516131899386,1292,11.483423695671496,955,8.488134388054396,1853,16.469647142476223,1668,14.8253488578793,1642,14.594258288152165
5,480.21333333333337,540.2133333333334,11249,1725,15.334696417459329,930,8.26740154680416,899,7.991821495244021,1216,10.809849764423504,1126,10.009778646990844,1874,16.659258600764513,1861,16.543692772690907,1618,14.383500755622721
6,540.2133333333334,600.2133333333334,11250,2068,18.38222222222222,657,5.84,248,2.2044444444444444,1440,12.8,921,8.186666666666667,1861,16.54222222222222,2036,18.097777777777775,2019,17.946666666666665
7,600.2133333333334,660.2133333333334,11250,1777,15.795555555555554,1000,8.88888888888889,663,5.893333333333333,1402,12.462222222222222,1288,11.44888888888889,1717,15.26222222222222,1753,15.582222222222223,1650,14.666666666666666
8,660.2133333333334,720.2133333333334,11250,1669,14.835555555555555,1051,9.342222222222222,615,5.466666666666667,1375,12.222222222222221,1229,10.924444444444445,1933,17.182222222222222,1697,15.084444444444445,1681,14.942222222222224
9,720.2133333333334,780.2133333333334,11250,1431,12.72,1293,11.493333333333332,845,7.511111111111111,1390,12.355555555555556,1394,12.391111111111112,1903,16.915555555555557,1450,12.88888888888889,1544,13.724444444444444
10,780.2133333333334,840.2133333333334,11250,1737,15.440000000000001,856,7.608888888888889,845,7.511111111111111,1264,11.235555555555555,1192,10.595555555555555,1936,17.20888888888889,1796,15.964444444444444,1624,14.435555555555554
11,840.2133333333334,900.2133333333334,11250,1670,14.844444444444443,781,6.942222222222222,1851,16.453333333333333,1020,9.066666666666666,1218,10.826666666666666,1617,14.373333333333333,1727,15.35111111111111,1366,12.142222222222223
12,900.2133333333334,960.2133333333334,11250,1599,14.213333333333333,825,7.333333333333333,2049,18.213333333333335,1027,9.12888888888889,1165,10.355555555555556,1511,13.431111111111111,1700,15.11111111111111,1374,12.213333333333333
13,960.2133333333334,1020.2133333333334,11250,1969,17.502222222222223,677,6.017777777777777,399,3.546666666666667,1354,12.035555555555554,980,8.71111111111111,1835,16.311111111111114,2120,18.844444444444445,1916,17.031111111111112
14,1020.2133333333334,1080.2133333333334,11250,2096,18.631111111111114,576,5.12,204,1.8133333333333335,1494,13.28,759,6.746666666666666,1854,16.48,2125,18.88888888888889,2142,19.040000000000003
15,1080.2133333333334,1140.2133333333334,11250,1815,16.133333333333333,808,7.182222222222221,390,3.4666666666666663,1481,13.164444444444445,1029,9.146666666666667,1867,16.595555555555556,1932,17.173333333333332,1928,17.137777777777778
16,1140.2133333333334,1200.2133333333334,11250,1862,16.551111111111112,851,7.564444444444445,393,3.493333333333333,1486,13.20888888888889,1003,8.915555555555557,1975,17.555555555555554,1827,16.24,1853,16.47111111111111
17,1200.2133333333334,1260.2133333333334,11250,1915,17.022222222222222,761,6.764444444444444,396,3.52,1558,13.848888888888888,933,8.293333333333333,1868,16.604444444444443,1878,16.69333333333333,1941,17.253333333333334
18,1260.2133333333334,1320.2133333333334,11250,1803,16.026666666666667,784,6.9688888888888885,1198,10.648888888888889,1215,10.8,1129,10.035555555555556,1723,15.315555555555555,1838,16.337777777777777,1560,13.866666666666665
19,1320.2133333333334,1380.2133333333334,2676,439,16.4050822122571,181,6.763826606875935,394,14.723467862481316,215,8.034379671150973,309,11.547085201793722,386,14.424514200298955,427,15.956651718983558,325,12.144992526158445
