From_State_ID,From_State,To_State_ID,To_State,Count,Proportion
0,DEEP REST,7,SCAN BURST,10777,10.603421982152168
6,BASELINE (1),0,DEEP REST,10495,10.325963969814142
7,SCAN BURST,5,SOFT BURST (1),8574,8.435904247468933
5,SOFT BURST (1),6,BASELINE (1),8009,7.880004329132108
3,BASELINE,5,SOFT BURST (1),4515,4.442279878390744
3,BASELINE,7,SCAN BURST,4448,4.376359003118943
7,SCAN BURST,6,BASELINE (1),4202,4.1343211625687495
0,DEEP REST,3,BASELINE,4019,3.954268622647264
7,SCAN BURST,4,SOCIAL PLAY,3944,3.8804765980892784
4,SOCIAL PLAY,6,BASELINE (1),3257,3.2045416531381288
6,BASELINE (1),3,BASELINE,2903,2.856243297224436
1,SOFT BURST,0,DEEP REST,2685,2.6417544791758907
6,BASELINE (1),1,SOFT BURST,2198,2.1625982663793697
5,SOFT BURST (1),4,SOCIAL PLAY,2166,2.131113669234629
1,SOFT BURST,3,BASELINE,2157,2.122258626287671
2,INTENSE BURST,1,SOFT BURST,1964,1.932367149758454
5,SOFT BURST (1),0,DEEP REST,1938,1.9067859145783523
0,DEEP REST,5,SOFT BURST (1),1630,1.603746667060224
5,SOFT BURST (1),7,SCAN BURST,1577,1.5516003030392476
4,SOCIAL PLAY,0,DEEP REST,1535,1.5102767692867753
4,SOCIAL PLAY,2,INTENSE BURST,1495,1.4709210228558498
5,SOFT BURST (1),1,SOFT BURST,1411,1.3882739553509056
5,SOFT BURST (1),3,BASELINE,1308,1.286932908291272
5,SOFT BURST (1),2,INTENSE BURST,1282,1.26135167311117
6,BASELINE (1),5,SOFT BURST (1),1254,1.233802650609522
3,BASELINE,0,DEEP REST,1146,1.1275421352460226
0,DEEP REST,4,SOCIAL PLAY,1013,0.9966842783631946
2,INTENSE BURST,6,BASELINE (1),917,0.9022304869289727
1,SOFT BURST,5,SOFT BURST (1),780,0.767437055403052
0,DEEP REST,6,BASELINE (1),778,0.7654692680815057
4,SOCIAL PLAY,5,SOFT BURST (1),766,0.753662544152228
3,BASELINE,6,BASELINE (1),583,0.5736100042307427
4,SOCIAL PLAY,7,SCAN BURST,559,0.5499965563721873
7,SCAN BURST,3,BASELINE,526,0.5175280655666735
2,INTENSE BURST,0,DEEP REST,499,0.49096293672579866
7,SCAN BURST,0,DEEP REST,413,0.40634808189930827
6,BASELINE (1),2,INTENSE BURST,412,0.40536418823853515
6,BASELINE (1),7,SCAN BURST,358,0.3522339305567854
6,BASELINE (1),4,SOCIAL PLAY,342,0.3364916319844151
1,SOFT BURST,2,INTENSE BURST,335,0.32960437635900314
2,INTENSE BURST,4,SOCIAL PLAY,311,0.3059909285004477
0,DEEP REST,1,SOFT BURST,309,0.3040231411789014
4,SOCIAL PLAY,1,SOFT BURST,273,0.26860296939106826
3,BASELINE,1,SOFT BURST,256,0.2518767771579248
7,SCAN BURST,2,INTENSE BURST,228,0.22432775465627675
1,SOFT BURST,6,BASELINE (1),216,0.21252103072699904
1,SOFT BURST,7,SCAN BURST,185,0.18202032724303158
0,DEEP REST,2,INTENSE BURST,185,0.18202032724303158
2,INTENSE BURST,5,SOFT BURST (1),172,0.1692297096529807
1,SOFT BURST,4,SOCIAL PLAY,115,0.11314777098891153
7,SCAN BURST,1,SOFT BURST,62,0.06100140696793491
2,INTENSE BURST,3,BASELINE,47,0.04624300205633775
2,INTENSE BURST,7,SCAN BURST,44,0.04329132107401832
4,SOCIAL PLAY,3,BASELINE,26,0.025581235180101736
3,BASELINE,4,SOCIAL PLAY,21,0.020661766876236016
3,BASELINE,2,INTENSE BURST,17,0.01672619223314344
